	belief	argument	label	gold_graph	generated_graph	retrieved_graph
159	Cosmetic surgery can have issues.	Cosmetic surgery changes self esteem.	support	[['cosmetic surgery', 'used for', 'people'], ['people', 'desires', 'self esteem'], ['self esteem', 'causes', 'issues']]	[['cosmetic surgery', '_isa', 'plastic surgery'], ['plastic surgery', 'hascontext', 'issues']]	[['surgery', 'isa', 'artifact'], ['artifact', '_partof', 'plant'], ['plant', '_isa', 'henna'], ['henna', 'isa', 'cosmetic']]
1342	Priests are suppressing their natural drives when they take a vow of celibacy and they are not as relatable.	Most humans have a sexual drive, including priests.	support	[['vow of celibacy', 'has context', 'not natural'], ['not natural', 'has context', 'suppressing'], ['most humans', 'desires', 'sexual'], ['vow of celibacy', 'not capable of', 'sexual']]	[['vow of celibacy', '_definedas', 'one'], ['one', 'capableof', 'marry'], ['marry', 'hasprerequisite', 'sexual']]	[['priests', 'atlocation', 'funeral'], ['funeral', '_atlocation', 'body'], ['body', 'isa', 'biology'], ['biology', '_hascontext', 'sexual']]
1484	Algorithmic trading should be banned as it does not allow human intervention.	It is necessary to prohibit algorithmic trading because it does not allow human intervention when unforeseen events occur.	support	[['algorithmic trading', 'not capable of', 'human reaction'], ['human intervention', 'used for', 'unforeseen events'], ['algorithmic trading', 'not capable of', 'unforeseen events'], ['human reaction', 'causes', 'human intervention']]	[['algorithmic trading', 'isa', 'human intervention']]	[['trading', '_hascontext', 'job'], ['job', '_isa', 'police'], ['police', 'isa', 'human']]
285	organ transplant is important.	A patient with failed kidneys might not die if he gets organ donation..	support	[['patient', 'receives action', 'organ transplant'], ['organ transplant', 'used for', 'make person healthy'], ['make person healthy', 'not causes', 'death'], ['make person healthy', 'is a', 'important'], ['kidneys', 'capable of', 'organ transplant']]	[['patient', '_hasprerequisite', 'having checkup'], ['having checkup', 'hassubevent', 'organ transplant']]	[['transplant', 'hascontext', 'medicine'], ['medicine', 'entails', 'body'], ['body', '_atlocation', 'organ']]
2277	school uniforms should not be enforced.	School uniforms are cheaper than regular clothing.	counter	[['school uniforms', 'has context', 'cheaper'], ['cheaper', 'has context', 'beneficial'], ['beneficial', 'desires', 'enforced']]	[['school uniforms', 'atlocation', 'school'], ['school', 'receivesaction', 'enforced']]	[['uniforms', '_usedfor', 'hat'], ['hat', 'atlocation', 'closet'], ['closet', 'atlocation', 'school']]
411	Intelligence tests should be banned.	Banning intelligence testing eliminates jobs.	counter	[['intelligence tests', 'has context', 'jobs'], ['jobs', 'has property', 'proctors'], ['proctors', 'used for', 'testing'], ['testing', 'desires', 'supervision'], ['supervision', 'not desires', 'should be banned']]	[['intelligence tests', '_usedfor', 'student'], ['student', 'capableof', 'should be banned']]	[['intelligence', '_hasprerequisite', 'designing_software'], ['designing_software', 'hassubevent', 'beta_testing'], ['beta_testing', 'isa', 'testing']]
472	Libertarianism should be adopted.	Libertarianism is the way.	support	[['libertarianism', 'is a', 'the way'], ['the way', 'desires', 'should be adopted'], ['should be adopted', 'desires', 'more followers']]	[['libertarianism', 'hascontext', 'politics'], ['politics', 'hasa', 'more followers']]	-1
33	We should abandon marriage because marriage is a religious ceremony and no one believes it.	Marriage is a ceremony that connects two minds, so we have to observe it.	counter	[['marriage', 'is a', 'connection'], ['connection', 'used for', 'two minds'], ['two minds', 'desires', 'religious ceremony']]	[['marriage', '_causes', 'proposing to woman'], ['proposing to woman', 'usedfor', 'marriage'], ['marriage', 'isa', 'religious ceremony']]	[['religious', '_hasproperty', 'christian'], ['christian', 'isa', 'human'], ['human', 'atlocation', 'love'], ['love', 'atlocation', 'marriage']]
196	Innocent people are being harmed by the blockade of gaza, and it needs to be ended.	Blockades keep people from getting what they need.	support	[['blockades', 'used for', 'oppress people'], ['oppress people', 'has context', 'blockade of gaza'], ['blockade of gaza', 'not used for', 'what they need'], ['what they need', 'is not a', 'being harmed'], ['being harmed', 'has context', 'cutting off resources'], ['cutting off resources', 'used for', 'innocent people']]	[['blockades', '_usedfor', 'obstructing justice'], ['obstructing justice', 'causes', '', '_capableof', 'innocent people']]	[['harmed', '_distinctfrom', 'safe'], ['safe', '_desires', 'person'], ['person', '_hasa', 'people']]
51	Marijuana creates jobs.	The cannabis industry creates employment opportunities.	support	[['cannabis industry', 'capable of', 'creates jobs'], ['creates jobs', 'synonym of', 'creates employment opportunities'], ['creates employment opportunities', 'has subevent', 'improves economy'], ['improves economy', 'causes', 'wealth in society'], ['wealth in society', 'created by', 'marijuana'], ['marijuana', 'synonym of', 'cannabis']]	[['cannabis industry', '_atlocation', '', '_isa', 'cannabis']]	[['marijuana', 'atlocation', 'amsterdam'], ['amsterdam', 'isa', 'city'], ['city', '_atlocation', 'industry']]
189	The olympic games should be abolished.	The olympic games are too expensive.	support	[['the olympic games', 'is a', 'too expensive'], ['too expensive', 'capable of', 'host city burden'], ['host city burden', 'desires', 'abolished']]	[['the olympic games', '_usedfor', 'running twenty six miles'], ['running twenty six miles', 'causes', 'broken bones'], ['broken bones', 'receivesaction', 'extinguished']]	-1
1164	It gives us information and we learn from it	Knowledge from it is so limited	counter	[['it', 'capable of', 'knowledge'], ['knowledge', 'synonym of', 'information'], ['knowledge', 'capable of', 'limited'], ['limited', 'not capable of', 'learn from it']]	[['it', 'capableof', 'learn from it']]	[['information', 'isa', 'knowledge']]
1293	A ban on cosmetic surgery for minors is good because it prevents conflict between kids and their parents ov	Young adults should be able to make decisions for themselves about cosmetic surgery. It is their body	counter	[['young adults', 'synonym of', 'minors'], ['young adults', 'capable of', 'make decisions'], ['young adults', 'desires', 'cosmetic surgery'], ['make decisions', 'has context', 'their body'], ['make decisions', 'not desires', 'ban']]	[['young adults', 'capableof', '', '_usedfor', 'beer mug'], ['beer mug', 'atlocation', 'ban']]	[['ban', 'isa', 'action'], ['action', '_hasprerequisite', 'making_better_world'], ['making_better_world', 'usedfor', 'children'], ['children', 'distinctfrom', 'adults']]
125	human coning would increase the inequality gap	human cloning would cause there to be a lack of resources for others	support	[['human cloning', 'capable of', 'increase population'], ['increase population', 'causes', 'lack of resources'], ['lack of resources', 'capable of', 'increase the inequality'], ['lack of resources', 'causes', 'gap']]	[['human cloning', 'isa', '', '_usedfor', 'human'], ['human', 'atlocation', 'gap']]	[['inequality', 'hascontext', 'mathematics'], ['mathematics', '_hascontext', 'one'], ['one', 'capableof', 'human']]
1891	There is nothing wrong with being a stay-at-home father.	Mothers are better equipped for childcare, especially when the child is a baby.	counter	[['mothers', 'used for', 'childcare'], ['mothers', 'receives action', 'better equipped'], ['childcare', 'used for', 'children'], ['father', 'not capable of', 'childcare'], ['better equipped', 'not has context', 'wrong']]	[['mothers', 'hasproperty', 'wrong']]	[['wrong', '_distinctfrom', 'proper'], ['proper', 'distinctfrom', 'naughty'], ['naughty', '_hasproperty', 'child']]
831	School uniforms reduce conflict.	School uniforms have no individuality.	counter	[['school uniforms', 'used for', 'uniformity'], ['uniformity', 'part of', 'no individuality'], ['no individuality', 'not used for', 'reduce conflict']]	[['school uniforms', 'atlocation', 'school'], ['school', 'usedfor', 'reduce conflict']]	[['uniforms', '_usedfor', 'hat'], ['hat', 'atlocation', 'closet'], ['closet', 'atlocation', 'school']]
169	The Olympic games brings people together.	The olympics are watched worldwide.	support	[['the olympic games', 'is a', 'worldwide game'], ['worldwide game', 'has property', 'watched worldwide'], ['worldwide game', 'capable of', 'brings people together'], ['brings people together', 'created by', 'the olympics']]	[['the olympic games', '_isa', 'the olympics']]	[['people', 'desires', 'compete'], ['compete', '_capableof', 'athlete'], ['athlete', 'atlocation', 'olympics']]
300	Payday loans are accessible.	People who have little money use payday loans.	support	[['payday loans', 'used for', 'poor'], ['poor', 'has property', 'little money'], ['little money', 'desires', 'loan'], ['loan', 'has property', 'accessible']]	[['payday loans', '_usedfor', 'credit card wallet'], ['credit card wallet', 'atlocation', 'library'], ['library', 'hasproperty', 'accessible']]	[['payday', 'causesdesire', 'spend_money'], ['spend_money', '_capableof', 'customers'], ['customers', 'isa', 'people']]
1923	Pride parades were important in the early part of the lgbtq movement but not anymore.	There is still a long way to go in the pride movement.	counter	[['lgbtq movement', 'capable of', 'long way'], ['long way', 'not capable of', 'not anymore'], ['long way', 'has context', 'important'], ['lgbtq movement', 'synonym of', 'pride movement']]	[['lgbtq movement', 'isa', 'pride movement']]	[['lgbtq', '_isa', 'queer'], ['queer', 'hascontext', 'slang'], ['slang', '_hascontext', 'drama'], ['drama', '_causes', 'acting_in_play'], ['acting_in_play', 'causes', 'pride']]
886	Telemarketing is good for the economy, and is a legitimate form of marketing.	Telemarketing is intrusive	counter	[['telemarketing', 'has property', 'scammers'], ['scammers', 'capable of', 'intrusive'], ['intrusive', 'not part of', 'good'], ['good', 'used for', 'legitimate marketing']]	[['telemarketing', 'isa', 'legitimate marketing']]	[['good', '_distinctfrom', 'die'], ['die', '_notdesires', 'organism'], ['organism', '_isa', 'geology'], ['geology', '_hascontext', 'intrusive']]
160	the olympic games should still be around.	The olympic games are too expensive to maintain.	counter	[['olympic games', 'capable of', 'expensive'], ['expensive', 'capable of', 'difficult to maintain'], ['difficult to maintain', 'not desires', 'still be around']]	[['olympic games', '_usedfor', 'watching tv show'], ['watching tv show', 'hasprerequisite', 'still be around']]	[['games', 'hasproperty', 'fun'], ['fun', 'hasproperty', 'expensive']]
915	Telemarketing is capable of being useful.	There are many people who would not be exposed to certain products if telemarketing did not exist.	support	[['telemarketing', 'causes', 'be exposed'], ['be exposed', 'has context', 'certain products'], ['certain products', 'capable of', 'being useful']]	[['telemarketing', '_hascontext', 'being useful']]	[['capable', '_motivatedbygoal', 'in_charge_of_project'], ['in_charge_of_project', 'motivatedbygoal', 'money'], ['money', 'atlocation', 'shop'], ['shop', '_atlocation', 'products']]
769	Payday loans are predatory.	Payday loans give people access to money right away.	counter	[['payday loans', 'used for', 'poor people'], ['poor people', 'receives action', 'money right away'], ['money right away', 'not capable of', 'predatory']]	[['payday loans', '_usedfor', '', '_isa', '', '_hascontext', 'predatory']]	[['payday', 'causesdesire', 'spend_money'], ['spend_money', '_capableof', 'customers'], ['customers', 'isa', 'people']]
149	the olympic games are not worth it.	The olympic games are costly.	support	[['the olympic games', 'is a', 'costly'], ['costly', 'synonym of', 'expensive'], ['expensive', 'is not a', 'worth it']]	[['the olympic games', '_usedfor', '', '_atlocation', 'money'], ['money', 'capableof', 'worth it']]	-1
190	austerity is simply not realistic.	Austerity tends to not be popular.	support	[['austerity', 'causes', 'difficulties'], ['difficulties', 'has property', 'not be popular'], ['not be popular', 'causes', 'not politically successful'], ['not politically successful', 'causes', 'not realistic']]	[['austerity', 'hascontext', 'not realistic']]	[['simply', 'hascontext', 'focus'], ['focus', 'isa', 'point'], ['point', 'hascontext', 'economics'], ['economics', '_hascontext', 'austerity']]
668	Payday loans are detrimental.	Payday loans guarantee financial ruin.	support	[['payday loans', 'capable of', 'exploitation'], ['exploitation', 'causes', 'financial ruin'], ['financial ruin', 'capable of', 'detrimental'], ['detrimental', 'used for', 'the poor']]	[['payday loans', '_usedfor', 'cheque book'], ['cheque book', 'atlocation', 'poor']]	[['payday', 'isa', 'candy'], ['candy', '_desires', 'person'], ['person', '_isa', 'gambler'], ['gambler', 'capableof', 'double_money'], ['double_money', '_capableof', 'guarantee']]
2073	Company members can be lead into conflict.	Everyone shares the same mission at work and is on the same page.	counter	[['company members', 'part of', 'same mission'], ['same mission', 'has context', 'same page'], ['same mission', 'not causes', 'conflict']]	[['company members', '_capableof', 'people'], ['people', 'hasproperty', '', '_distinctfrom', 'conflict']]	[['company', '_atlocation', 'employees'], ['employees', 'atlocation', 'work']]
2089	Forced prayer should not be in school.	School prayer is important to bring people closer.	counter	[['school prayer', 'used for', 'bring people closer'], ['bring people closer', 'has context', 'important'], ['school prayer', 'at location', 'school'], ['school prayer', 'used for', 'prayer']]	[['school prayer', 'isa', 'prayer']]	[['forced', '_notdesires', 'person'], ['person', '_isa', 'altar_server'], ['altar_server', 'atlocation', 'church'], ['church', '_atlocation', 'prayer']]
817	Private military companies are more concerned with profit than the safety of the country.	Profit goes down if security is bad.	counter	[['security is bad', 'causes', 'profit goes down'], ['security is bad', 'has context', 'safety'], ['private military companies', 'not desires', 'security is bad']]	[['security is bad', '_isa', 'security is bad']]	[['military', 'usedfor', 'change'], ['change', 'hasa', 'cost'], ['cost', 'distinctfrom', 'profit']]
2117	Everyone should have to use a public defender, so that wealthy people invest in the public defender system.	People deserve better representation if they can get it.	counter	[['public defender', 'part of', 'representation'], ['representation', 'is a', 'choice'], ['better representation', 'part of', 'choice'], ['everyone', 'desires', 'better representation']]	[['public defender', 'hascontext', '', '_isa', 'person'], ['person', 'desires', 'better representation']]	[['defender', 'hascontext', 'legal'], ['legal', '_hascontext', 'agree'], ['agree', '_capableof', 'people']]
1651	Intelligence tests are worthless.	Intelligence tests do not measure the whole picture.	support	[['intelligence tests', 'not has property', 'accurate measure'], ['accurate measure', 'desires', 'the whole picture'], ['the whole picture', 'not created by', 'one test alone'], ['one test alone', 'capable of', 'worthless']]	[['intelligence tests', '_usedfor', 'student'], ['student', 'distinctfrom', 'worthless']]	[['intelligence', 'atlocation', 'universe'], ['universe', '_atlocation', 'person'], ['person', '_atlocation', 'drop_of_blood'], ['drop_of_blood', 'usedfor', 'tests']]
2167	zero tolerance should be in schools.	Zero tolerance punishes children.	counter	[['zero tolerance', 'capable of', 'punishes children'], ['punishes children', 'not part of', 'schools'], ['children', 'at location', 'schools']]	[['zero tolerance', 'hascontext', 'schools']]	-1
974	Legal organ sale will harm desperate people.	Legal organ sale would provide desperate people an opportunity to increase their wealth.	counter	[['legal organ sale', 'has context', 'low income people'], ['desperate people', 'desires', 'increase their wealth'], ['low income people', 'synonym of', 'desperate people'], ['increase their wealth', 'is not a', 'harm']]	[['legal organ sale', '_isa', '', '_usedfor', 'buying products'], ['buying products', 'causes', 'harm']]	[['organ', '_isa', 'brain'], ['brain', 'atlocation', 'person'], ['person', 'desires', 'opportunity']]
42	cannabis should be freely available	Some studies say that long term cannabis use could be harmful to the brain	counter	[['brain', 'not desires', 'drug use'], ['drug use', 'not desires', 'freely available'], ['freely available', 'causes', 'cannabis use'], ['cannabis use', 'capable of', 'long term use'], ['long term use', 'has property', 'harmful'], ['harmful', 'has context', 'studies'], ['studies', 'has context', 'cannabis']]	[['brain', '_atlocation', 'cannabis']]	[['cannabis', 'hasproperty', 'good'], ['good', '_hasproperty', 'people'], ['people', 'desires', 'quiet'], ['quiet', '_hasproperty', 'studies']]
149	Urbanization is a positive for society.	Urbanization encourages job growth.	support	[['urbanization', 'capable of', 'encourages job growth'], ['encourages job growth', 'causes', 'benefits people'], ['benefits people', 'is a', 'positive'], ['positive', 'used for', 'society']]	[['urbanization', '_causes', 'changing society'], ['changing society', 'hasprerequisite', 'society']]	[['positive', 'hascontext', 'slang'], ['slang', '_hascontext', 'job']]
680	payday loans are dangerous.	Payday loans have high interest rates.	support	"[['payday loans', 'has property', 'high interest rates'], ['high interest rates', 'has subevent', ""can't pay back""], [""can't pay back"", 'has property', 'dangerous']]"	[['payday loans', 'hasproperty', 'dangerous']]	[['payday', 'isa', 'candy'], ['candy', 'atlocation', 'mall'], ['mall', '_atlocation', 'catwalk'], ['catwalk', 'hasproperty', 'high']]
34	Cannabis should be legal.	Cannabis should not be legalized.	counter	[['cannabis', 'has property', 'psychotropic drug'], ['psychotropic drug', 'has subevent', 'gateway to addiction'], ['gateway to addiction', 'not desires', 'should be legal'], ['should be legal', 'has subevent', 'increased drug addiction'], ['increased drug addiction', 'desires', 'not be legalized']]	[['cannabis', 'isa', 'not be legalized']]	-1
2225	Not receiving a payday loan would be in the best interest of a person's financial situation.	A payday loan would be a non-factor in the way if might affect one's financial situation.	counter	[['payday loan', 'has context', 'finances'], ['predatory lending', 'is not a', 'best interest'], ['payday loan', 'capable of', 'predatory lending'], ['finances', 'synonym of', 'financial situation']]	[['payday loan', 'isa', 'financial situation']]	[['loan', '_motivatedbygoal', 'buy_products'], ['buy_products', 'motivatedbygoal', 'spend_money'], ['spend_money', '_causesdesire', 'payday']]
498	there are places were you can go and pray	anyone has the right to pray and practice what he believes.	support	[['anyone', 'capable of', 'choice'], ['choice', 'is a', 'right'], ['right', 'used for', 'pray'], ['pray', 'at location', 'places']]	[['anyone', 'capableof', 'place']]	[['places', 'hasa', 'mountains'], ['mountains', 'atlocation', 'utah'], ['utah', 'isa', 'holiday'], ['holiday', 'instanceof', 'christian'], ['christian', 'capableof', 'pray']]
561	This kind of favorable activity is necessary for our children.	This activity is pleasant for some kids but most find it makes them sad and angry.	counter	[['activity', 'is not a', 'pleasant'], ['kids', 'part of', 'activity'], ['kids', 'synonym of', 'children'], ['activity', 'causes', 'sad and angry'], ['sad and angry', 'is not a', 'necessary']]	[['activity', '_isa', 'work'], ['work', 'hasproperty', 'necessary']]	[['activity', '_usedfor', 'playing_baseball'], ['playing_baseball', 'usedfor', 'kids']]
281	A lower cost product can be provided.	In today's world it is easy to make products widely available.	support	"[['products', 'part of', ""today's world""], [""today's world"", 'desires', 'a lower cost'], [""today's world"", 'desires', 'widely available'], ['widely available', 'synonym of', 'can be provided'], ['a lower cost', 'capable of', 'raising demand'], ['raising demand', 'has property', 'easy'], ['easy', 'created by', 'modern conveniences'], ['can be provided', 'created by', 'modern conveniences']]"	[['products', 'atlocation', 'store'], ['store', 'isa', 'modern conveniences']]	[['cost', '_hasa', 'change'], ['change', '_motivatedbygoal', 'buy_products'], ['buy_products', 'motivatedbygoal', 'products']]
2345	Most telemarketers are scammers	Telemarketing is an easy way to advertise product but cannot be trusted	support	[['telemarketing', 'used for', 'scammers'], ['scammers', 'has context', 'cannot be trusted'], ['telemarketers', 'used for', 'advertise product'], ['advertise product', 'has context', 'cannot be trusted']]	[['telemarketing', '_hascontext', 'cannot be trusted']]	-1
672	School uniforms restrict pupil's choice of creativity.	Inability to express themselves leads to bad actions in kids.	support	[['school uniforms', 'causes', 'bad actions'], ['bad actions', 'created by', 'children'], ['children', 'synonym of', 'kids'], ['kids', 'not capable of', 'choice of creativity']]	[['school uniforms', 'atlocation', 'school'], ['school', 'usedfor', 'learning'], ['learning', 'isa', 'choice of creativity']]	[['uniforms', '_usedfor', 'hat'], ['hat', 'atlocation', 'head'], ['head', 'usedfor', 'thinking'], ['thinking', 'causes', 'decisions'], ['decisions', 'hasa', 'consequences'], ['consequences', '_hasa', 'actions']]
171	The Olympic games bring people together.	The Olympic games are popular globally.	support	[['the olympic games', 'is a', 'tradition'], ['the olympic games', 'is a', 'popular globally'], ['popular globally', 'capable of', 'bring people together']]	[['the olympic games', '_usedfor', '', '_atlocation', 'fans'], ['fans', 'capableof', 'bring people together']]	[['people', 'atlocation', 'carnival'], ['carnival', '_atlocation', 'games']]
1556	women should not be discriminated against in the role in military combat.	women should not leave her family for a long time.	counter	[['women', 'not desires', 'leave her family'], ['military combat', 'desires', 'leave her family'], ['women', 'not used for', 'fighting in combat'], ['fighting in combat', 'has context', 'discriminated against'], ['fighting in combat', 'synonym of', 'military combat'], ['women', 'synonym of', 'females'], ['females', 'desires', 'discriminated against']]	[['women', 'hasproperty', 'discriminated against']]	[['military', '_hascontext', 'boy'], ['boy', '_distinctfrom', 'man'], ['man', 'distinctfrom', 'women']]
726	The three strikes law is effective.	The three strikes law does not prevent someone from committing crimes.	counter	[['three strikes law', 'is not a', 'efficient'], ['efficient', 'created by', 'not prevent someone'], ['not prevent someone', 'not part of', 'effective'], ['not prevent someone', 'causes', 'commiting crime']]	[['three strikes law', 'isa', '', '_hasprerequisite', 'committing crime']]	[['law', '_hascontext', 'strike_out'], ['strike_out', '_hassubevent', 'playing_baseball'], ['playing_baseball', 'causes', 'strikes']]
1036	Abolishing the right to bear arms limits the level of crime and violence.	Abolishing right to bear arm limits the number of weapons which in turn limits level of crime and violence	support	[['bear arms', 'is a', 'second amendment right'], ['second amendment right', 'desires', 'abolishing'], ['abolishing', 'capable of', 'restricting'], ['restricting', 'capable of', 'limits'], ['restricting', 'has context', 'crime and violence']]	[['bear arms', '_capableof', 'person'], ['person', 'notdesires', 'crime and violence']]	[['crime', '_isa', 'killing_people'], ['killing_people', 'hasprerequisite', 'weapons']]
1338	The right to keep and bear arms benefits society.	The right to keep and bear arms also enables criminals to have access to weapons for committing crimes.	counter	[['bear arms', 'causes', 'increased guns'], ['increased guns', 'causes', 'criminals access guns'], ['criminals access guns', 'used for', 'committing crimes'], ['committing crimes', 'is not a', 'benefits society']]	[['bear arms', '_capableof', 'person'], ['person', 'desires', 'benefits society']]	[['benefits', 'hasproperty', 'important'], ['important', '_hasproperty', 'good'], ['good', '_nothasproperty', 'killing_people'], ['killing_people', 'hasprerequisite', 'weapons']]
2018	Naturopathy does not harm people.	Naturopathy does not have invasive treatments which could do harm.	support	[['naturopathy', 'not capable of', 'invasive treatments'], ['alternative medicine', 'not capable of', 'harm people'], ['naturopathy', 'part of', 'alternative medicine']]	[['naturopathy', 'hascontext', 'alternative medicine']]	[['naturopathy', 'hascontext', 'alternative_medicine'], ['alternative_medicine', '_hascontext', 'reflexology'], ['reflexology', 'hascontext', 'medicine'], ['medicine', '_hascontext', 'invasive']]
69	Algorithmic trading is not fair.	Algorithmic trading gives some an advantage.	support	[['trading', 'desires', 'free of bias'], ['free of bias', 'not part of', 'algorithmic trading'], ['algorithmic trading', 'has property', 'an advantage'], ['an advantage', 'created by', 'computing of probabilities'], ['computing of probabilities', 'has property', 'speed'], ['speed', 'part of', 'not fair']]	[['trading', '_hascontext', 'not fair']]	[['trading', '_hascontext', 'job'], ['job', 'hascontext', 'computing'], ['computing', '_hascontext', 'algorithmic']]
1956	Practicing  naturopathy is a right. It does not harm anyone and should not be banned	Naturopathy has been around for centuries. There is no reason to ban it as it puts no-one at risk	support	[['naturopathy', 'is a', 'alternative medicine'], ['alternative medicine', 'is a', 'right'], ['naturopathy', 'is a', 'around for centuries'], ['alternative medicine', 'not capable of', 'harm anyone'], ['alternative medicine', 'not desires', 'be banned']]	[['naturopathy', 'hascontext', 'medicine'], ['medicine', 'capableof', 'be banned']]	[['naturopathy', 'hascontext', 'alternative_medicine'], ['alternative_medicine', '_hascontext', 'meridian'], ['meridian', 'hascontext', 'mathematics'], ['mathematics', '_hascontext', 'action'], ['action', '_isa', 'ban']]
168	Urbanization is worse for society.	People have gotten sick from urbanization.	support	[['urbanization', 'capable of', 'pollution'], ['pollution', 'causes', 'bad air quality'], ['bad air quality', 'causes', 'sick'], ['sick', 'part of', 'people'], ['people', 'part of', 'society'], ['society', 'desires', 'better life quality']]	[['urbanization', '_causes', 'changing society'], ['changing society', 'hassubevent', 'better life quality']]	[['worse', 'distinctfrom', 'better'], ['better', '_isa', 'people'], ['people', 'hasproperty', 'sick']]
1918	People would get a lot more work done if we didn't have television.	People can also get distracted with their phones and other things. Television isn't the only problem.	counter	[['television', 'is not a', 'the only problem'], ['television', 'not causes', 'get distracted'], ['people', 'capable of', 'be productive'], ['people', 'capable of', 'get distracted'], ['be productive', 'synonym of', 'get work done']]	[['television', '_hascontext', '', '_hasprerequisite', 'get paid'], ['get paid', 'hassubevent', 'get work done']]	[['people', '_createdby', 'television']]
1304	There should be outspoken judges.	People in positions of power who are outspoken is the only way to bring change.	support	[['outspoken judges', 'has context', 'important'], ['important', 'has context', 'should be'], ['outspoken', 'causes', 'bring change'], ['bring change', 'has context', 'important']]	[['outspoken judges', '_usedfor', 'debating politics'], ['debating politics', 'hasprerequisite', 'knowledge'], ['knowledge', 'hasproperty', 'important']]	-1
706	Banning a company for having poor business practices would send a message to other businesses that they should treat employees well.	Business leaders act out of greed and not malice, so they are unaware that they are taking advantage of workers.	support	[['business leaders', 'capable of', 'greed'], ['business leaders', 'not capable of', 'malice'], ['business leaders', 'not desires', 'taking advantage'], ['taking advantage', 'has property', 'workers'], ['taking advantage', 'is a', 'poor business practices'], ['poor business practices', 'causes', 'boycott'], ['boycott', 'synonym of', 'banning a company']]	[['business leaders', '_usedfor', 'taking care of proposals'], ['taking care of proposals', 'causes', 'banning a company']]	[['employees', 'atlocation', 'company'], ['company', 'desires', 'money'], ['money', 'causes', 'greed']]
228	If something get in the way of getting essential supplies it should stop.	No political statement is worth cutting people off from essentials they need.	support	[['blockades', 'used for', 'political statement'], ['political statement', 'has subevent', 'in the way'], ['in the way', 'has property', 'impediment to justice'], ['impediment to justice', 'created by', 'cutting people off'], ['cutting people off', 'desires', 'should stop']]	[['blockades', '_usedfor', 'obstructing justice'], ['obstructing justice', 'hassubevent', 'should stop']]	[['supplies', 'atlocation', 'cabinet'], ['cabinet', '_atlocation', 'paper'], ['paper', '_madeof', 'letter'], ['letter', '_atlocation', 'statement']]
2210	People choosing who defends them has worked for centuries, and doesn't need to be changed.	ideas evolve	counter	[['unequal treatment', 'has context', 'who defends them'], ['public defender', 'used for', 'poor people'], ['expensive lawyers', 'capable of', 'better defence'], ['better defence', 'is a', 'unequal treatment'], ['poor people', 'receives action', 'unequal treatment'], ['unequal treatment', 'desires', 'changed'], ['changed', 'synonym of', 'evolve'], ['evolve', 'synonym of', 'ideas evolve']]	[['unequal treatment', '_notdesires', 'person'], ['person', 'desires', 'ideas evolve']]	[['people', '_usedfor', 'thinking'], ['thinking', 'causes', 'ideas']]
2298	Private military companies work for profit, and not the good of the country, so the should be banned.	private companies need money to survive.	counter	[['private companies', 'desires', 'money'], ['profit', 'made of', 'money'], ['private military companies', 'part of', 'private companies']]	[['private companies', '_isa', 'private companies']]	[['military', '_isa', 'person'], ['person', '_isa', 'miner'], ['miner', 'capableof', 'mine_earth'], ['mine_earth', '_capableof', 'companies']]
617	zero tolerance policy makes schools safer	kids can't come back so schools are safer	support	"[['zero tolerance policy', 'used for', 'bad kids'], ['bad kids', 'receives action', ""can't come back""], [""can't come back"", 'causes', 'schools safer'], ['schools safer', 'part of', 'schools are safer']]"	[['zero tolerance policy', 'isa', '', '_hasa', 'schools are safer']]	[['schools', '_atlocation', 'eraser'], ['eraser', 'atlocation', 'school'], ['school', '_atlocation', 'kids']]
1708	intelligence tests that are too narrow cannot measure the true intelligence of people	not all intelligence tests are narrow in scope	counter	[['intelligence tests', 'synonym of', 'iq tests'], ['iq tests', 'is not a', 'narrow in scope'], ['iq tests', 'capable of', 'measure'], ['measure', 'has context', 'ability'], ['ability', 'synonym of', 'true intelligence']]	[['intelligence tests', '_usedfor', 'answering questions'], ['answering questions', 'hasprerequisite', '', '_isa', 'true intelligence']]	[['people', '_atlocation', 'stupidity'], ['stupidity', '_distinctfrom', 'intelligence']]
1059	Television has lots of advantages attached to it.	Television is a source of news and also interesting programs for us	support	[['television', 'used for', 'various things'], ['various things', 'part of', 'source of news'], ['source of news', 'part of', 'lots of advantages'], ['lots of advantages', 'used for', 'people']]	[['television', '_hascontext', 'people']]	[['advantages', '_desires', 'person'], ['person', '_isa', 'television']]
392	Missionary work should go away.	Missionaries try to save the world.	counter	[['save the world', 'has context', 'christians'], ['christians', 'desires', 'missionary work'], ['missionary work', 'desires', 'saving souls'], ['saving souls', 'not desires', 'go away'], ['go away', 'not used for', 'missionaries']]	[['save the world', '_desires', '', '_isa', 'missionary zealots _similarto missionaries']]	[['missionary', 'isa', 'person'], ['person', '_isa', 'baseball'], ['baseball', '_hascontext', 'save']]
1254	Gender neutral language is no better than current language.	Even gender neutral terms are subject to gender bias and are no more helpful than current language.	support	[['gender neutral language', 'has context', 'has issues'], ['has issues', 'not capable of', 'better than current'], ['gender neutral terms', 'has property', 'gender bias'], ['gender bias', 'not has property', 'better than current']]	[['gender neutral language', '_isa', 'english language'], ['english language', 'hasproperty', 'better than current']]	[['current', 'distinctfrom', 'past'], ['past', 'hascontext', 'grammar'], ['grammar', '_hascontext', 'female'], ['female', 'isa', 'gender']]
